# Friction	Classical_Rate	Transmission_Coefficient
1.000000000000000082e-05	5.622377836594660838e-01	2.500245210016736497e+00
2.335721469090121287e-05	5.346350578001147769e-01	2.377497175076686897e+00
5.455594781168514340e-05	5.776497429199435318e-01	2.568781474276985222e+00
1.274274985703133418e-04	4.867304124424531309e-01	2.164467450689490757e+00
2.976351441631319315e-04	5.933779698310017725e-01	2.638724166033624030e+00
6.951927961775604793e-04	5.373375234983297499e-01	2.389514914036203308e+00
1.623776739188721036e-03	5.611227260328687239e-01	2.495286600739987204e+00
3.792690190732249909e-03	5.523024879490121553e-01	2.456063413218092961e+00
8.858667904100822610e-03	4.967352877392139932e-01	2.208958664664344873e+00
2.069138081114788030e-02	5.453771647031900871e-01	2.425266823631948121e+00
4.832930238571751802e-02	5.609188333047880892e-01	2.494379899284558721e+00
1.128837891684688344e-01	5.490533451840737822e-01	2.441614626831267287e+00
2.636650898730355519e-01	5.045563051022358136e-01	2.243738364228607285e+00
6.158482110660254971e-01	5.148360665832339977e-01	2.289451984248402017e+00
1.438449888287663070e+00	5.514580461294240621e-01	2.452308219817854074e+00
3.359818286283780875e+00	5.665610870430509705e-01	2.519470738592745729e+00
7.847599703514606340e+00	5.203618762527016939e-01	2.314025002211774318e+00
1.832980710832433857e+01	5.448895707672775091e-01	2.423098516132648150e+00
4.281332398719386845e+01	5.800159698070161962e-01	2.579303974920235554e+00
1.000000000000000000e+02	5.219105859515762447e-01	2.320912042035236045e+00
